time,equ_status,equ_status_1,H2_volume,CO_volume,CO2_volume,CH4_volume,C2H4_volume,C2H2_volume,C2H6_volume,total_hydrocarbons
2015-07-31,1,2,24.7,430.0,2859.0,4.6,3.43,0.0,0.66,8.69
2015-07-30,1,2,25.7,422.0,2874.0,4.32,3.33,0.0,0.6,8.25
2015-07-29,1,2,26.3,439.0,2881.0,4.22,3.52,0.0,0.65,8.39
2015-07-28,1,2,25.6,415.0,2909.0,4.65,3.66,0.0,0.61,8.92
2015-07-27,1,2,22.6,421.0,2879.0,4.88,3.99,0.0,0.59,9.46
2015-07-26,1,2,23.3,425.0,2965.0,4.43,4.0,0.0,0.65,9.08
2015-07-25,1,2,23.1,413.0,2873.0,4.68,3.5,0.0,0.6,8.78
2015-07-24,1,2,22.1,449.0,2768.0,4.21,3.61,0.0,0.7,8.52
2015-07-23,1,2,24.7,412.0,2888.0,4.66,3.54,0.0,0.71,8.91
2015-07-22,1,2,22.8,453.0,2855.0,4.66,3.62,0.0,0.63,8.91
2015-07-21,1,2,21.9,417.0,2792.0,4.44,3.98,0.0,0.66,9.08
2015-07-20,1,2,26.0,414.0,2998.0,4.89,3.97,0.0,0.6,9.46
2015-07-19,1,2,22.0,452.0,2760.0,4.96,3.61,0.0,0.65,9.22
2015-07-18,1,2,25.0,431.0,2965.0,4.74,3.93,0.0,0.71,9.38
2015-07-17,1,2,24.5,433.0,2911.0,4.89,3.92,0.0,0.67,9.48
2015-07-16,1,2,23.6,415.0,2784.0,4.81,3.3,0.0,0.65,8.76
2015-07-15,1,2,25.3,433.0,2752.0,4.83,3.52,0.0,0.65,9.0
2015-07-14,1,2,24.8,452.0,2988.0,4.06,3.58,0.0,0.67,8.31
2015-07-13,1,2,22.1,430.0,2810.0,4.46,3.86,0.0,0.63,8.95
2015-07-12,1,2,24.5,421.0,2973.0,4.95,3.62,0.0,0.64,9.21
2015-07-11,1,2,24.4,452.0,2870.0,4.64,3.66,0.0,0.6,8.9
2015-07-10,1,2,22.2,450.0,2952.0,4.1,3.42,0.0,0.66,8.18
2015-07-09,1,2,24.8,420.0,2873.0,4.09,3.43,0.0,0.66,8.18
2015-07-08,1,2,24.5,433.0,2911.0,4.89,3.92,0.0,0.67,9.48
2015-07-07,1,2,26.0,423.0,2987.0,4.94,3.43,0.0,0.6,8.97
2015-07-06,1,2,26.3,423.0,2823.0,4.69,3.45,0.0,0.65,8.79
2015-07-05,1,2,22.6,414.0,2785.0,4.44,3.91,0.0,0.61,8.96
2015-07-04,1,2,23.8,429.0,2825.0,4.44,3.91,0.0,0.61,8.96
2015-07-03,1,2,25.2,424.0,2841.0,4.22,3.53,0.0,0.65,8.4
2015-07-02,1,2,26.0,436.0,2839.0,4.37,3.53,0.0,0.71,8.61
2015-07-01,1,2,25.4,435.0,2933.0,4.87,3.3,0.0,0.7,8.87
2015-06-30,1,2,22.8,413.0,3012.0,4.87,3.29,0.0,0.71,8.87
2015-06-29,1,2,25.6,448.0,2951.0,4.89,3.91,0.0,0.67,9.47
2015-06-28,1,2,22.6,446.0,2900.0,4.4,3.33,0.0,0.62,8.35
2015-06-27,1,2,22.8,446.0,2762.0,4.21,3.54,0.0,0.64,8.39
2015-06-26,1,2,22.1,430.0,2810.0,4.46,3.86,0.0,0.63,8.95
2015-06-25,1,2,25.1,411.0,2976.0,4.91,3.86,0.0,0.7,9.47
2015-06-24,1,2,22.9,422.0,2979.0,4.11,3.63,0.0,0.67,8.41
2015-06-23,1,2,25.7,435.0,2759.0,4.29,3.94,0.0,0.64,8.87
2015-06-22,1,2,22.6,414.0,2785.0,4.44,3.91,0.0,0.61,8.96
2015-06-21,1,2,23.5,444.0,3032.0,4.79,3.72,0.0,0.62,9.13
2015-06-20,1,2,22.8,425.0,2877.0,4.18,3.69,0.0,0.66,8.53
2015-06-19,1,2,22.8,437.0,2815.0,4.12,3.98,0.0,0.69,8.79
2015-06-18,1,2,26.4,457.0,2794.0,4.46,3.43,0.0,0.7,8.59
2015-06-17,1,2,25.7,449.0,2878.0,4.26,3.29,0.0,0.59,8.14
2015-06-16,1,2,22.3,431.0,2994.0,4.34,3.67,0.0,0.6,8.61
2015-06-15,1,2,23.5,417.0,2806.0,4.42,3.3,0.0,0.64,8.36
2015-06-14,1,2,26.3,426.0,3016.0,4.91,3.85,0.0,0.7,9.46
2015-06-13,1,2,23.4,413.0,2992.0,4.1,3.41,0.0,0.67,8.18
2015-06-12,1,2,25.2,424.0,2841.0,4.22,3.53,0.0,0.65,8.4
2015-06-11,1,2,22.8,434.0,2897.0,4.91,3.87,0.0,0.69,9.47
2015-06-10,1,2,22.2,430.0,2775.0,4.07,3.56,0.0,0.68,8.31
2015-06-09,1,2,26.1,459.0,2904.0,4.44,3.89,0.0,0.62,8.95
2015-06-08,1,2,22.9,454.0,3039.0,4.55,3.43,0.0,0.59,8.57
2015-06-07,1,2,22.2,431.0,3029.0,4.73,3.97,0.0,0.68,9.38
2015-06-06,1,2,22.5,432.0,2817.0,4.82,3.55,0.0,0.62,8.99
2015-06-05,1,2,22.8,425.0,2877.0,4.18,3.69,0.0,0.66,8.53
2015-06-04,1,2,22.8,437.0,2815.0,4.12,3.98,0.0,0.69,8.79
2015-06-03,1,2,24.8,410.0,2896.0,4.83,3.54,0.0,0.63,9.0
2015-06-02,1,2,24.4,451.0,2943.0,4.37,3.56,0.0,0.69,8.62
2015-06-01,1,2,24.9,435.0,2918.0,4.34,3.61,0.0,0.66,8.61
2015-05-31,1,2,25.3,434.0,3006.0,4.59,3.93,0.0,0.65,9.17
2015-05-30,1,2,23.6,435.0,2992.0,4.61,3.88,0.0,0.68,9.17
2015-05-29,1,2,25.3,447.0,2871.0,4.8,3.59,0.0,0.6,8.99
2015-05-28,1,2,22.3,409.0,2787.0,4.23,3.49,0.0,0.67,8.39
2015-05-27,1,2,22.1,408.0,2981.0,4.26,3.47,0.0,0.66,8.39
2015-05-26,1,2,25.2,422.0,2879.0,4.46,3.85,0.0,0.64,8.95
2015-05-25,1,2,25.5,434.0,2868.0,4.4,3.41,0.0,0.67,8.48
2015-05-24,1,2,26.1,458.0,2942.0,4.68,3.49,0.0,0.61,8.78
2015-05-23,1,2,24.2,440.0,2851.0,4.62,3.79,0.0,0.63,9.04
2015-05-22,1,2,25.1,447.0,3010.0,4.09,3.38,0.0,0.71,8.18
2015-05-21,1,2,22.7,456.0,2773.0,4.78,3.73,0.0,0.62,9.13
2015-05-20,1,2,23.5,415.0,2845.0,4.66,3.62,0.0,0.63,8.91
