time,equ_status,equ_status_1,H2_volume,CO_volume,CO2_volume,CH4_volume,C2H4_volume,C2H2_volume,C2H6_volume,total_hydrocarbons
2015-07-31,1,2,9.1,354.0,1438.0,8.34,3.68,0.0,0.74,12.76
2015-07-30,1,2,10.0,357.0,1470.0,7.35,3.77,0.0,0.72,11.84
2015-07-09,1,2,9.5,376.0,1462.0,8.54,3.67,0.0,0.73,12.94
2015-07-08,1,2,9.5,376.0,1462.0,8.54,3.67,0.0,0.73,12.94
2015-07-07,1,2,9.5,376.0,1462.0,8.54,3.67,0.0,0.73,12.94
2015-07-06,1,2,10.0,381.0,1453.0,8.42,4.18,0.0,0.88,13.48
2015-07-05,1,2,9.29,366.0,1366.0,8.2,4.35,0.0,0.87,13.42
2015-07-04,1,2,10.8,349.0,1391.0,8.27,4.24,0.0,0.78,13.29
2015-07-03,1,2,9.1,352.0,1464.0,8.29,4.13,0.0,0.73,13.15
2015-07-02,1,2,10.4,367.0,1458.0,7.79,3.95,0.0,0.75,12.49
2015-07-01,1,2,10.8,347.0,1462.0,7.29,4.0,0.0,0.82,12.11
2015-06-30,1,2,10.0,343.0,1331.0,8.19,3.64,0.0,0.78,12.61
2015-06-29,1,2,9.22,343.0,1427.0,8.07,4.04,0.0,0.88,12.99
2015-06-28,1,2,10.1,353.0,1376.0,7.73,4.19,0.0,0.84,12.76
2015-06-27,1,2,9.08,362.0,1434.0,8.18,3.65,0.0,0.77,12.6
2015-06-26,1,2,10.4,380.0,1371.0,8.27,4.24,0.0,0.78,13.29
2015-06-25,1,2,9.76,375.0,1461.0,7.5,4.11,0.0,0.82,12.43
2015-06-24,1,2,9.95,363.0,1425.0,7.54,3.87,0.0,0.76,12.17
2015-06-23,1,2,10.1,343.0,1441.0,7.36,3.75,0.0,0.74,11.85
2015-06-22,1,2,10.5,374.0,1400.0,8.74,4.39,0.0,0.82,13.95
2015-06-21,1,2,9.08,352.0,1339.0,7.63,3.89,0.0,0.81,12.33
2015-06-20,1,2,9.6,379.0,1467.0,8.15,3.85,0.0,0.88,12.88
2015-06-19,1,2,9.41,346.0,1394.0,7.59,3.82,0.0,0.77,12.18
2015-06-18,1,2,10.2,341.0,1357.0,7.38,4.1,0.0,0.78,12.26
2015-06-17,1,2,10.6,348.0,1383.0,7.34,3.77,0.0,0.73,11.84
2015-06-16,1,2,9.26,371.0,1411.0,7.38,3.63,0.0,0.86,11.87
2015-06-15,1,2,10.2,339.0,1399.0,7.2,4.13,0.0,0.75,12.08
2015-06-14,1,2,9.39,362.0,1374.0,8.77,4.35,0.0,0.85,13.97
2015-06-13,1,2,10.0,360.0,1452.0,7.75,4.16,0.0,0.86,12.77
2015-06-12,1,2,9.81,359.0,1445.0,8.43,3.7,0.0,0.8,12.93
2015-06-11,1,2,10.4,349.0,1408.0,7.24,4.0,0.0,0.87,12.11
2015-06-10,1,2,9.49,362.0,1448.0,8.43,3.77,0.0,0.87,13.07
2015-06-09,1,2,9.69,339.0,1360.0,8.01,4.2,0.0,0.74,12.95
2015-06-08,1,2,10.8,359.0,1392.0,7.38,3.64,0.0,0.85,11.87
2015-06-07,1,2,10.2,381.0,1435.0,8.32,4.01,0.0,0.85,13.18
2015-06-06,1,2,10.2,362.0,1420.0,7.28,3.94,0.0,0.74,11.96
2015-06-05,1,2,9.6,379.0,1467.0,8.15,3.85,0.0,0.88,12.88
2015-06-04,1,2,9.41,346.0,1394.0,7.59,3.82,0.0,0.77,12.18
2015-06-03,1,2,9.24,371.0,1447.0,8.5,4.32,0.0,0.8,13.62
2015-06-02,1,2,9.8,342.0,1360.0,8.37,3.86,0.0,0.82,13.05
2015-06-01,1,2,9.71,370.0,1447.0,7.54,3.9,0.0,0.87,12.31
2015-05-31,1,2,10.9,350.0,1461.0,7.65,3.67,0.0,0.74,12.06
2015-05-30,1,2,9.01,350.0,1429.0,8.42,3.78,0.0,0.87,13.07
2015-05-29,1,2,10.0,370.0,1387.0,8.13,3.8,0.0,0.79,12.72
2015-05-28,1,2,9.03,370.0,1440.0,7.57,3.86,0.0,0.74,12.17
2015-05-27,1,2,9.17,381.0,1428.0,7.69,3.84,0.0,0.82,12.35
