time,equ_status,equ_status_1,H2_volume,CO_volume,CO2_volume,CH4_volume,C2H4_volume,C2H2_volume,C2H6_volume,total_hydrocarbons
2017-07-31,1,2,14.2,570.0,6218.0,18.1,0.87,0.0,4.82,23.79
2017-07-30,1,2,12.4,549.0,6319.0,16.1,0.85,0.0,4.95,21.9
2017-07-29,1,2,13.5,575.0,6238.0,18.0,0.77,0.0,4.13,22.9
2017-07-28,1,2,13.1,574.0,6006.0,15.6,0.78,0.0,4.85,21.23
2017-07-27,1,2,13.3,569.0,6338.0,17.7,0.73,0.0,4.48,22.91
2017-07-26,1,2,12.0,547.0,5949.0,15.4,0.73,0.0,4.57,20.7
2017-07-25,1,2,12.0,518.0,6369.0,17.7,0.85,0.0,4.88,23.43
2017-07-24,1,2,11.8,526.0,5914.0,17.9,0.82,0.0,4.32,23.04
2017-07-23,1,2,12.7,520.0,5984.0,18.5,0.78,0.0,4.16,23.44
2017-07-22,1,2,12.0,564.0,6391.0,16.1,0.85,0.0,4.95,21.9
2017-07-21,1,2,12.2,558.0,6176.0,16.8,0.75,0.0,4.1,21.65
2017-07-20,1,2,12.5,519.0,5879.0,18.5,0.79,0.0,4.17,23.46
2017-07-19,1,2,12.7,556.0,5943.0,16.4,0.72,0.0,4.12,21.24
2017-07-18,1,2,12.8,530.0,5957.0,17.0,0.84,0.0,4.31,22.15
2017-07-17,1,2,12.7,552.0,6115.0,16.0,0.86,0.0,4.15,21.01
2017-07-16,1,2,13.8,557.0,6131.0,15.5,0.81,0.0,4.34,20.65
2017-07-15,1,2,11.9,562.0,5994.0,17.6,0.83,0.0,4.88,23.31
2017-07-14,1,2,12.9,521.0,6201.0,16.2,0.78,0.0,4.31,21.29
2017-07-13,1,2,13.8,518.0,6216.0,16.6,0.81,0.0,4.22,21.63
2017-07-12,1,2,12.5,535.0,6353.0,16.0,0.73,0.0,4.85,21.58
2017-07-11,1,2,13.6,581.0,6394.0,16.1,0.82,0.0,4.08,21.0
2017-07-10,1,2,11.7,519.0,5859.0,17.5,0.73,0.0,4.77,23.0
2017-07-09,1,2,13.4,534.0,6310.0,17.8,0.84,0.0,4.08,22.72
2017-07-08,1,2,12.2,557.0,6363.0,18.1,0.74,0.0,4.63,23.47
2017-07-07,1,2,13.0,574.0,6171.0,18.0,0.79,0.0,4.28,23.07
2017-07-06,1,2,12.4,518.0,6289.0,18.6,0.78,0.0,4.11,23.49
2017-07-05,1,2,13.2,549.0,5967.0,18.2,0.73,0.0,4.87,23.8
2017-07-04,1,2,13.0,524.0,6347.0,16.5,0.74,0.0,4.26,21.5
2017-07-03,1,2,11.8,561.0,6377.0,18.1,0.76,0.0,4.12,22.98
2017-07-02,1,2,12.3,570.0,6095.0,16.1,0.83,0.0,4.65,21.58
2017-07-01,1,2,13.3,570.0,6294.0,16.4,0.75,0.0,4.07,21.22
2017-06-30,1,2,14.3,521.0,5810.0,15.6,0.84,0.0,4.77,21.21
2017-06-29,1,2,13.3,555.0,5963.0,15.6,0.82,0.0,4.42,20.84
2017-06-28,1,2,12.0,575.0,6311.0,16.6,0.74,0.0,4.94,22.28
2017-06-27,1,2,12.0,564.0,6391.0,16.1,0.85,0.0,4.95,21.9
2017-06-26,1,2,13.5,582.0,5889.0,16.0,0.86,0.0,4.81,21.67
2017-06-25,1,2,12.9,538.0,5894.0,16.9,0.76,0.0,4.33,21.99
2017-06-24,1,2,13.2,536.0,5942.0,16.1,0.85,0.0,4.1,21.05
2017-06-23,1,2,14.1,561.0,6346.0,16.2,0.83,0.0,4.73,21.76
2017-06-22,1,2,11.7,565.0,6205.0,18.6,0.78,0.0,4.09,23.47
2017-06-21,1,2,12.5,570.0,6126.0,18.1,0.76,0.0,4.95,23.81
2017-06-20,1,2,11.8,526.0,5807.0,16.3,0.77,0.0,4.32,21.39
2017-06-19,1,2,12.9,559.0,5978.0,15.6,0.84,0.0,4.82,21.26
2017-06-18,1,2,13.0,533.0,5928.0,18.2,0.76,0.0,4.17,23.13
2017-06-17,1,2,12.1,554.0,6056.0,16.1,0.86,0.0,4.86,21.82
2017-06-16,1,2,12.9,524.0,6024.0,17.2,0.85,0.0,4.11,22.16
2017-06-15,1,2,12.0,551.0,6366.0,17.4,0.81,0.0,4.18,22.39
2017-06-14,1,2,13.3,527.0,6361.0,17.8,0.83,0.0,4.19,22.82
2017-06-13,1,2,13.8,574.0,6339.0,16.3,0.78,0.0,4.3,21.38
2017-06-12,1,2,13.1,548.0,6122.0,17.2,0.87,0.0,4.53,22.6
2017-06-11,1,2,13.4,527.0,6069.0,17.1,0.88,0.0,4.34,22.32
2017-06-10,1,2,12.4,534.0,6003.0,16.0,0.87,0.0,4.67,21.54
2017-06-09,1,2,12.9,573.0,5848.0,15.3,0.74,0.0,4.13,20.17
2017-06-08,1,2,12.7,536.0,5880.0,15.6,0.82,0.0,4.4,20.82
2017-06-07,1,2,13.2,535.0,6097.0,18.5,0.83,0.0,4.66,23.99
2017-06-06,1,2,14.2,522.0,5948.0,17.3,0.82,0.0,4.06,22.18
2017-06-05,1,2,12.3,566.0,6267.0,15.7,0.81,0.0,4.69,21.2
2017-06-04,1,2,12.0,567.0,6081.0,18.2,0.74,0.0,4.73,23.67
2017-06-03,1,2,12.7,536.0,5880.0,15.6,0.82,0.0,4.4,20.82
2017-06-02,1,2,12.1,532.0,6127.0,16.4,0.75,0.0,4.93,22.08
2017-06-01,1,2,12.5,530.0,5883.0,18.2,0.73,0.0,4.85,23.78
2017-05-31,1,2,12.1,528.0,6299.0,15.9,0.73,0.0,4.06,20.69
2017-05-30,1,2,13.8,526.0,5962.0,17.3,0.83,0.0,4.45,22.58
2017-05-29,1,2,11.8,538.0,6310.0,16.7,0.84,0.0,4.91,22.45
2017-05-17,1,2,13.2,535.0,6102.0,17.9,0.78,0.0,4.82,23.5
2017-05-16,1,2,13.1,565.0,5809.0,17.3,0.76,0.0,4.95,23.01
2017-05-11,1,2,12.5,572.0,6083.0,16.8,0.79,0.0,4.55,22.14
2017-05-10,1,2,13.9,539.0,6130.0,16.8,0.77,0.0,4.21,21.78
2017-05-09,1,2,11.9,540.0,6017.0,17.1,0.8,0.0,4.38,22.28
2017-05-08,1,2,13.5,541.0,6268.0,17.9,0.87,0.0,4.64,23.41
2017-05-07,1,2,12.7,536.0,5874.0,18.4,0.75,0.0,4.8,23.95
2017-05-06,1,2,13.9,530.0,6130.0,15.4,0.81,0.0,4.26,20.47
2017-05-05,1,2,12.5,556.0,6394.0,17.8,0.8,0.0,4.37,22.97
2017-05-04,1,1,13.1,568.0,6349.0,15.9,0.81,0.0,4.24,20.95
2017-05-03,1,1,13.1,568.0,6349.0,15.9,0.81,0.0,4.24,20.95
2017-05-02,2,1,13.1,568.0,6349.0,15.9,0.81,0.0,4.24,20.95
2017-05-01,1,2,12.6,532.0,6334.0,18.1,0.76,0.0,4.18,23.04
2017-04-30,1,2,11.7,554.0,6259.0,17.4,0.76,0.0,4.08,22.24
2017-04-29,1,2,13.3,582.0,6304.0,15.6,0.81,0.0,4.92,21.33
2017-04-28,1,2,13.0,544.0,5959.0,16.3,0.8,0.0,4.31,21.41
2017-04-27,1,2,13.2,577.0,6121.0,18.0,0.85,0.0,4.27,23.12
2017-04-26,1,2,13.7,538.0,5967.0,15.9,0.81,0.0,4.79,21.5
2017-04-25,1,2,13.9,545.0,6371.0,17.5,0.73,0.0,4.86,23.09
2017-04-24,1,2,13.5,559.0,5833.0,15.8,0.77,0.0,4.79,21.36
2017-04-23,1,2,13.3,556.0,5947.0,16.1,0.79,0.0,4.39,21.28
2017-04-22,1,2,12.5,536.0,6161.0,18.5,0.78,0.0,4.15,23.43
2017-04-21,1,2,12.4,580.0,5855.0,15.9,0.75,0.0,4.25,20.9
2017-04-20,1,2,13.2,551.0,6359.0,17.3,0.8,0.0,4.78,22.88
2017-04-19,1,2,12.2,562.0,5988.0,16.6,0.83,0.0,4.71,22.14
2017-04-18,1,2,13.3,530.0,6206.0,17.8,0.73,0.0,4.19,22.72
2017-04-17,1,2,14.1,566.0,6030.0,15.4,0.87,0.0,4.23,20.5
2017-04-16,1,2,13.1,575.0,5894.0,16.8,0.82,0.0,4.35,21.97
2017-04-15,1,2,11.8,574.0,6264.0,17.4,0.86,0.0,4.37,22.63
2017-04-14,1,2,12.2,544.0,6343.0,16.6,0.78,0.0,4.36,21.74
2017-04-13,1,2,12.2,562.0,5988.0,16.6,0.83,0.0,4.71,22.14
2017-04-12,1,2,11.9,576.0,5976.0,18.4,0.73,0.0,4.35,23.48
2017-04-11,1,2,13.4,542.0,5939.0,16.9,0.78,0.0,4.55,22.23
2017-04-10,1,2,11.8,580.0,5952.0,16.1,0.85,0.0,4.94,21.89
2017-04-09,1,2,13.8,559.0,5987.0,16.6,0.86,0.0,4.45,21.91
2017-04-08,1,2,13.8,567.0,6030.0,18.1,0.83,0.0,4.46,23.39
2017-04-07,1,2,13.3,525.0,6400.0,16.3,0.86,0.0,4.43,21.59
2017-04-06,1,2,13.6,557.0,6381.0,16.0,0.75,0.0,4.13,20.88
2017-04-05,1,2,12.3,553.0,6306.0,18.4,0.8,0.0,4.75,23.95
2017-04-04,1,2,12.8,577.0,6355.0,17.2,0.8,0.0,4.93,22.93
2017-04-03,1,2,11.9,537.0,6220.0,18.0,0.83,0.0,4.95,23.78
